episode,reward_first0,reward_second0,rolling_avg_30,epsilon
544,17.0,-17.0,-0.17,0.2
545,4.0,-4.0,0.5,0.2
546,-3.0,3.0,0.8,0.2
547,-13.0,13.0,0.27,0.2
548,6.0,-6.0,0.13,0.2
549,10.0,-10.0,0.67,0.2
550,8.0,-8.0,1.23,0.2
551,2.0,-2.0,1.23,0.2
552,1.0,-1.0,1.33,0.2
553,1.0,-1.0,1.87,0.2
554,1.0,-1.0,2.23,0.2
555,2.0,-2.0,2.33,0.2
556,-5.0,5.0,2.27,0.2
557,-7.0,7.0,1.4,0.2
558,4.0,-4.0,1.4,0.2
559,9.0,-9.0,1.47,0.2
560,1.0,-1.0,1.27,0.2
561,3.0,-3.0,1.27,0.2
562,-3.0,3.0,1.3,0.2
563,6.0,-6.0,1.8,0.2
564,9.0,-9.0,1.77,0.2
565,-12.0,12.0,1.5,0.2
566,5.0,-5.0,1.67,0.2
567,1.0,-1.0,1.43,0.2
568,-6.0,6.0,1.57,0.2
569,15.0,-15.0,2.2,0.2
570,5.0,-5.0,2.3,0.2
571,-4.0,4.0,2.07,0.2
572,0.0,0.0,2.2,0.2
573,1.0,-1.0,1.93,0.2
574,-7.0,7.0,1.13,0.2
575,1.0,-1.0,1.03,0.2
576,-6.0,6.0,0.93,0.2
577,15.0,-15.0,1.87,0.2
578,-5.0,5.0,1.5,0.2
579,-18.0,18.0,0.57,0.2
580,11.0,-11.0,0.67,0.2
581,-5.0,5.0,0.43,0.2
582,1.0,-1.0,0.43,0.2
583,2.0,-2.0,0.47,0.2
584,-2.0,2.0,0.37,0.2
585,-4.0,4.0,0.17,0.2
586,-4.0,4.0,0.2,0.2
587,6.0,-6.0,0.63,0.2
588,13.0,-13.0,0.93,0.2
589,-14.0,14.0,0.17,0.2
590,-6.0,6.0,-0.07,0.2
591,-10.0,10.0,-0.5,0.2
592,-3.0,3.0,-0.5,0.2
593,2.0,-2.0,-0.63,0.2
594,1.0,-1.0,-0.9,0.2
595,4.0,-4.0,-0.37,0.2
596,-13.0,13.0,-0.97,0.2
597,3.0,-3.0,-0.9,0.2
598,-1.0,1.0,-0.73,0.2
599,3.0,-3.0,-1.13,0.2
600,-4.0,4.0,-1.43,0.2
601,-5.0,5.0,-1.47,0.2
602,16.0,-16.0,-0.93,0.2
603,2.0,-2.0,-0.9,0.2
604,-5.0,5.0,-0.83,0.2
605,7.0,-7.0,-0.63,0.2
606,-11.0,11.0,-0.8,0.2
607,6.0,-6.0,-1.1,0.2
608,1.0,-1.0,-0.9,0.2
609,-8.0,8.0,-0.57,0.2
610,-4.0,4.0,-1.07,0.2
611,-6.0,6.0,-1.1,0.2
612,-6.0,6.0,-1.33,0.2
613,-8.0,8.0,-1.67,0.2
614,-4.0,4.0,-1.73,0.2
615,-12.0,12.0,-2.0,0.2
616,-9.0,9.0,-2.17,0.2
617,3.0,-3.0,-2.27,0.2
618,-5.0,5.0,-2.87,0.2
619,-12.0,12.0,-2.8,0.2
620,2.0,-2.0,-2.53,0.2
621,0.0,0.0,-2.2,0.2
622,0.0,0.0,-2.1,0.2
623,7.0,-7.0,-1.93,0.2
624,2.0,-2.0,-1.9,0.2
625,-14.0,14.0,-2.5,0.2
626,-5.0,5.0,-2.23,0.2
627,-7.0,7.0,-2.57,0.2
628,-2.0,2.0,-2.6,0.2
629,-1.0,1.0,-2.73,0.2
630,-7.0,7.0,-2.83,0.2
631,-3.0,3.0,-2.77,0.2
632,6.0,-6.0,-3.1,0.2
633,9.0,-9.0,-2.87,0.2
634,-10.0,10.0,-3.03,0.2
635,-1.0,1.0,-3.3,0.2
636,-4.0,4.0,-3.07,0.2
637,-7.0,7.0,-3.5,0.2
638,0.0,0.0,-3.53,0.2
639,1.0,-1.0,-3.23,0.2
640,7.0,-7.0,-2.87,0.2
641,-21.0,21.0,-3.37,0.2
642,2.0,-2.0,-3.1,0.2
643,23.0,-23.0,-2.07,0.2
644,-5.0,5.0,-2.1,0.2
645,-2.0,2.0,-1.77,0.2
646,7.0,-7.0,-1.23,0.2
647,3.0,-3.0,-1.23,0.2
648,10.0,-10.0,-0.73,0.2
