episode,reward_first0,reward_second0,rolling_avg_30,epsilon
446,-7.0,7.0,-5.33,0.2
447,2.0,-2.0,-5.17,0.2
448,-22.0,22.0,-5.7,0.2
449,-6.0,6.0,-5.67,0.2
450,-3.0,3.0,-5.5,0.2
451,-3.0,3.0,-5.6,0.2
452,1.0,-1.0,-5.37,0.2
453,-9.0,9.0,-6.0,0.2
454,-13.0,13.0,-6.33,0.2
455,-13.0,13.0,-6.8,0.2
456,-2.0,2.0,-6.87,0.2
457,-11.0,11.0,-7.13,0.2
458,4.0,-4.0,-6.93,0.2
459,-4.0,4.0,-6.77,0.2
460,-13.0,13.0,-7.03,0.2
461,-26.0,26.0,-7.3,0.2
462,4.0,-4.0,-7.07,0.2
463,-2.0,2.0,-7.17,0.2
464,5.0,-5.0,-6.6,0.2
465,5.0,-5.0,-6.33,0.2
466,-3.0,3.0,-6.37,0.2
467,4.0,-4.0,-5.4,0.2
468,10.0,-10.0,-5.03,0.2
469,-12.0,12.0,-4.93,0.2
470,-6.0,6.0,-5.2,0.2
471,-12.0,12.0,-5.43,0.2
472,-8.0,8.0,-5.5,0.2
473,-2.0,2.0,-5.37,0.2
474,-9.0,9.0,-5.47,0.2
475,3.0,-3.0,-4.93,0.2
476,0.0,0.0,-4.7,0.2
477,-6.0,6.0,-4.97,0.2
478,-7.0,7.0,-4.47,0.2
479,-3.0,3.0,-4.37,0.2
480,-5.0,5.0,-4.43,0.2
481,-11.0,11.0,-4.7,0.2
482,0.0,0.0,-4.73,0.2
483,-5.0,5.0,-4.6,0.2
484,2.0,-2.0,-4.1,0.2
485,-6.0,6.0,-3.87,0.2
486,1.0,-1.0,-3.77,0.2
487,-4.0,4.0,-3.53,0.2
488,0.0,0.0,-3.67,0.2
489,-2.0,2.0,-3.6,0.2
490,-2.0,2.0,-3.23,0.2
491,-11.0,11.0,-2.73,0.2
492,-1.0,1.0,-2.9,0.2
493,1.0,-1.0,-2.8,0.2
494,4.0,-4.0,-2.83,0.2
495,-2.0,2.0,-3.07,0.2
496,-17.0,17.0,-3.53,0.2
497,-8.0,8.0,-3.93,0.2
498,-4.0,4.0,-4.4,0.2
499,-6.0,6.0,-4.2,0.2
500,-5.0,5.0,-4.17,0.2
501,-4.0,4.0,-4.0,0.2
502,-2.0,2.0,-3.0,0.2
503,4.0,-4.0,-0.67,0.2
504,-13.0,13.0,-3.75,0.2
505,-2.0,2.0,-3.4,0.2
506,-7.0,7.0,-4.0,0.2
507,-7.0,7.0,-4.43,0.2
508,3.0,-3.0,-3.5,0.2
509,-5.0,5.0,-3.67,0.2
510,-2.0,2.0,-3.5,0.2
511,-7.0,7.0,-3.82,0.2
512,-10.0,10.0,-4.33,0.2
513,4.0,-4.0,-3.69,0.2
514,-16.0,16.0,-4.57,0.2
515,1.0,-1.0,-4.2,0.2
516,-6.0,6.0,-4.31,0.2
517,-23.0,23.0,-5.41,0.2
518,-15.0,15.0,-5.94,0.2
519,6.0,-6.0,-5.32,0.2
520,-2.0,2.0,-5.15,0.2
521,-2.0,2.0,-5.0,0.2
522,-8.0,8.0,-5.14,0.2
523,-9.0,9.0,-5.3,0.2
524,-4.0,4.0,-5.25,0.2
525,-2.0,2.0,-5.12,0.2
526,-3.0,3.0,-5.04,0.2
527,-9.0,9.0,-5.19,0.2
528,-4.0,4.0,-5.14,0.2
529,-11.0,11.0,-5.34,0.2
530,-10.0,10.0,-5.5,0.2
531,-26.0,26.0,-6.23,0.2
532,-10.0,10.0,-6.5,0.2
533,-14.0,14.0,-7.1,0.2
534,-12.0,12.0,-7.07,0.2
535,-1.0,1.0,-7.03,0.2
536,-34.0,34.0,-7.93,0.2
537,-5.0,5.0,-7.87,0.2
538,1.0,-1.0,-7.93,0.2
539,-34.0,34.0,-8.9,0.2
540,-4.0,4.0,-8.97,0.2
541,-6.0,6.0,-8.93,0.2
542,-28.0,28.0,-9.53,0.2
543,0.0,0.0,-9.67,0.2
544,-5.0,5.0,-9.3,0.2
545,-7.0,7.0,-9.57,0.2
546,0.0,0.0,-9.37,0.2
547,0.0,0.0,-8.6,0.2
548,-3.0,3.0,-8.2,0.2
549,-3.0,3.0,-8.5,0.2
550,-5.0,5.0,-8.6,0.2
551,0.0,0.0,-8.53,0.2
552,2.0,-2.0,-8.2,0.2
553,0.0,0.0,-7.9,0.2
554,-12.0,12.0,-8.17,0.2
555,-4.0,4.0,-8.23,0.2
556,-2.0,2.0,-8.2,0.2
557,-8.0,8.0,-8.17,0.2
558,4.0,-4.0,-7.9,0.2
559,-7.0,7.0,-7.77,0.2
560,-7.0,7.0,-7.67,0.2
561,-4.0,4.0,-6.93,0.2
562,-2.0,2.0,-6.67,0.2
563,-1.0,1.0,-6.23,0.2
564,-8.0,8.0,-6.1,0.2
565,-16.0,16.0,-6.6,0.2
566,-2.0,2.0,-5.53,0.2
567,8.0,-8.0,-5.1,0.2
568,-41.0,41.0,-6.5,0.2
569,0.0,0.0,-5.37,0.2
570,7.0,-7.0,-5.0,0.2
571,-4.0,4.0,-4.93,0.2
572,-14.0,14.0,-4.47,0.2
573,-19.0,19.0,-5.1,0.2
574,-30.0,30.0,-5.93,0.2
575,-7.0,7.0,-5.93,0.2
576,-3.0,3.0,-6.03,0.2
577,-1.0,1.0,-6.07,0.2
578,-4.0,4.0,-6.1,0.2
579,6.0,-6.0,-5.8,0.2
580,-2.0,2.0,-5.7,0.2
581,2.0,-2.0,-5.63,0.2
582,-4.0,4.0,-5.83,0.2
583,-12.0,12.0,-6.23,0.2
584,-7.0,7.0,-6.07,0.2
585,-6.0,6.0,-6.13,0.2
586,8.0,-8.0,-5.8,0.2
587,-8.0,8.0,-5.8,0.2
588,2.0,-2.0,-5.87,0.2
589,2.0,-2.0,-5.57,0.2
590,2.0,-2.0,-5.27,0.2
591,-9.0,9.0,-5.43,0.2
592,-22.0,22.0,-6.1,0.2
593,-10.0,10.0,-6.4,0.2
594,3.0,-3.0,-6.03,0.2
595,-13.0,13.0,-5.93,0.2
596,-6.0,6.0,-6.07,0.2
597,1.0,-1.0,-6.3,0.2
598,-11.0,11.0,-5.3,0.2
599,-2.0,2.0,-5.37,0.2
600,3.0,-3.0,-5.5,0.2
601,-12.0,12.0,-5.77,0.2
602,-5.0,5.0,-5.47,0.2
603,8.0,-8.0,-4.57,0.2
604,-13.0,13.0,-4.0,0.2
605,-6.0,6.0,-3.97,0.2
606,2.0,-2.0,-3.8,0.2
607,-11.0,11.0,-4.13,0.2
608,3.0,-3.0,-3.9,0.2
609,-3.0,3.0,-4.2,0.2
610,-10.0,10.0,-4.47,0.2
611,-13.0,13.0,-4.97,0.2
612,-11.0,11.0,-5.2,0.2
613,-2.0,2.0,-4.87,0.2
614,0.0,0.0,-4.63,0.2
615,-7.0,7.0,-4.67,0.2
616,4.0,-4.0,-4.8,0.2
617,-1.0,1.0,-4.57,0.2
618,10.0,-10.0,-4.3,0.2
619,-15.0,15.0,-4.87,0.2
620,4.0,-4.0,-4.8,0.2
621,7.0,-7.0,-4.27,0.2
622,6.0,-6.0,-3.33,0.2
623,-1.0,1.0,-3.03,0.2
624,1.0,-1.0,-3.1,0.2
625,1.0,-1.0,-2.63,0.2
626,-15.0,15.0,-2.93,0.2
627,-4.0,4.0,-3.1,0.2
628,-15.0,15.0,-3.23,0.2
629,-9.0,9.0,-3.47,0.2
630,-7.0,7.0,-3.8,0.2
631,0.0,0.0,-3.4,0.2
632,-4.0,4.0,-3.37,0.2
633,-8.0,8.0,-3.9,0.2
634,3.0,-3.0,-3.37,0.2
635,-3.0,3.0,-3.27,0.2
636,-7.0,7.0,-3.57,0.2
637,-9.0,9.0,-3.5,0.2
638,-5.0,5.0,-3.77,0.2
639,-4.0,4.0,-3.8,0.2
640,2.0,-2.0,-3.4,0.2
641,-6.0,6.0,-3.17,0.2
642,4.0,-4.0,-2.67,0.2
643,-2.0,2.0,-2.67,0.2
644,-8.0,8.0,-2.93,0.2
645,0.0,0.0,-2.7,0.2
646,4.0,-4.0,-2.7,0.2
647,3.0,-3.0,-2.57,0.2
648,-14.0,14.0,-3.37,0.2
649,-4.0,4.0,-3.0,0.2
650,-1.0,1.0,-3.17,0.2
651,-6.0,6.0,-3.6,0.2
652,-3.0,3.0,-3.9,0.2
653,1.0,-1.0,-3.83,0.2
654,-1.0,1.0,-3.9,0.2
655,-1.0,1.0,-3.97,0.2
656,5.0,-5.0,-3.3,0.2
657,-3.0,3.0,-3.27,0.2
658,-13.0,13.0,-3.2,0.2
659,-8.0,8.0,-3.17,0.2
660,6.0,-6.0,-2.73,0.2
661,-3.0,3.0,-2.83,0.2
662,2.0,-2.0,-2.63,0.2
663,-1.0,1.0,-2.4,0.2
664,-7.0,7.0,-2.73,0.2
665,-1.0,1.0,-2.67,0.2
666,-4.0,4.0,-2.57,0.2
667,-4.0,4.0,-2.4,0.2
668,0.0,0.0,-2.23,0.2
669,10.0,-10.0,-1.77,0.2
670,0.0,0.0,-1.83,0.2
671,-3.0,3.0,-1.73,0.2
672,-6.0,6.0,-2.07,0.2
673,-13.0,13.0,-2.43,0.2
674,-9.0,9.0,-2.47,0.2
675,2.0,-2.0,-2.4,0.2
676,-3.0,3.0,-2.63,0.2
677,-9.0,9.0,-3.03,0.2
678,2.0,-2.0,-2.5,0.2
679,2.0,-2.0,-2.3,0.2
680,-9.0,9.0,-2.57,0.2
681,-1.0,1.0,-2.4,0.2
682,-11.0,11.0,-2.67,0.2
683,16.0,-16.0,-2.17,0.2
684,0.0,0.0,-2.13,0.2
685,-6.0,6.0,-2.3,0.2
686,1.0,-1.0,-2.43,0.2
687,7.0,-7.0,-2.1,0.2
688,1.0,-1.0,-1.63,0.2
689,-3.0,3.0,-1.47,0.2
690,-11.0,11.0,-2.03,0.2
691,-1.0,1.0,-1.97,0.2
692,0.0,0.0,-2.03,0.2
693,1.0,-1.0,-1.97,0.2
